"x" "y" ""
"169" 0.616666813021703 -79.983333 8.85
"170" 0.65000014524207 -79.983333 9.243
"171" 0.683333477462438 -79.983333 9.601
"172" 0.716666809682805 -79.983333 9.948
"173" 0.750000141903172 -79.983333 10.274
"174" 0.783333474123539 -79.983333 10.567
"175" 0.816666806343907 -79.983333 10.847
"176" 0.850000138564274 -79.983333 11.112
"177" 0.883333470784641 -79.983333 11.367
"178" 0.916666803005008 -79.983333 11.604
"179" 0.950000135225376 -79.983333 11.824
"180" 0.983333467445743 -79.983333 12.029
"181" 1.01666679966611 -79.983333 12.224
"182" 1.05000013188648 -79.983333 12.409
"183" 1.08333346410685 -79.983333 12.578
"184" 1.11666679632721 -79.983333 12.723
"185" 1.15000012854758 -79.983333 12.858
"186" 1.18333346076795 -79.983333 13.005
"187" 1.21666679298831 -79.983333 13.097
"188" 1.25000012520868 -79.983333 13.209
"189" 1.28333345742905 -79.983333 13.361
"190" 1.31666678964942 -79.983333 13.434
"191" 1.35000012186978 -79.983333 13.428
"192" 1.38333345409015 -79.983333 13.456
"193" 1.41666678631052 -79.983333 13.496
"194" 1.45000011853088 -79.983333 13.533
"195" 1.48333345075125 -79.983333 13.568
"196" 1.51666678297162 -79.983333 13.602
"197" 1.55000011519199 -79.983333 13.638
"198" 1.58333344741235 -79.983333 13.675
"199" 1.61666677963272 -79.983333 13.698
"200" 1.65000011185309 -79.983333 13.68
